item_id,treatment_level,true_cate
0.0,0.1,1.5626215078131
1.0,0.1,0.6703216936392495
2.0,0.1,1.3830639528342932
3.0,0.1,1.4663276404608858
4.0,0.1,1.1441210539636666
5.0,0.1,1.1153523372910978
6.0,0.1,1.1556826750732814
7.0,0.1,1.0438864246918822
8.0,0.1,1.239357944055893
9.0,0.1,1.252567175596587
10.0,0.1,1.3359008191708064
11.0,0.1,1.1696456314633572
12.0,0.1,1.627292795469641
13.0,0.1,1.4081522012658034
14.0,0.1,1.4241106392792329
15.0,0.1,1.2489904161810443
16.0,0.1,1.6949883631887417
17.0,0.1,1.868118291504448
18.0,0.1,1.3691401237982301
19.0,0.1,1.0020190218808303
20.0,0.1,1.7414475011342994
21.0,0.1,1.0607636827663702
22.0,0.1,1.2278701526348375
23.0,0.1,1.6848412161284951
24.0,0.1,1.5464222202398084
25.0,0.1,1.52612284983522
26.0,0.1,1.4796633664924066
27.0,0.1,1.483912637862682
28.0,0.1,1.1087050281235244
29.0,0.1,1.5090475716698197
30.0,0.1,1.0153694302048804
31.0,0.1,1.4871742648392114
32.0,0.1,1.2520808459695747
33.0,0.1,1.0263193812299196
34.0,0.1,0.70675956891486
35.0,0.1,1.0496693573738725
36.0,0.1,1.1866784673843362
37.0,0.1,1.0393581919694936
38.0,0.1,0.7408009546747527
39.0,0.1,1.1882178356091018
40.0,0.1,1.3190988627803613
41.0,0.1,1.995685244225502
42.0,0.1,1.63115135600607
43.0,0.1,1.2229323432827748
44.0,0.1,1.974165258113711
45.0,0.1,1.5113707180426381
46.0,0.1,1.8579490558039833
47.0,0.1,1.5247801230767788
48.0,0.1,1.4892611432938256
49.0,0.1,1.8101987490168074
50.0,0.1,2.5867578871501102
51.0,0.1,1.8530373351321305
52.0,0.1,1.0193036788373266
53.0,0.1,2.0519452549946813
54.0,0.1,1.7961498722547304
55.0,0.1,2.317933061521554
56.0,0.1,1.464268969783669
57.0,0.1,1.606050238713415
58.0,0.1,1.4396347750993517
59.0,0.1,2.0390793357281627
60.0,0.1,1.4015280388919997
61.0,0.1,1.1122688530961193
62.0,0.1,1.9143481554041877
63.0,0.1,1.5552929426173456
64.0,0.1,1.5021616998991352
65.0,0.1,1.3682190874477342
66.0,0.1,1.1651666621527124
67.0,0.1,1.1642954112729065
68.0,0.1,1.293858153985168
69.0,0.1,1.7819095426283305
70.0,0.1,1.6048553706498314
71.0,0.1,1.129051681089801
72.0,0.1,1.1393446741700295
73.0,0.1,0.9139071001001247
74.0,0.1,1.4470429953506372
75.0,0.1,1.616843658174849
76.0,0.1,1.7425451204287121
77.0,0.1,1.2107152560494718
78.0,0.1,1.698250862090065
79.0,0.1,1.1295941296828431
80.0,0.1,0.8138457342826202
81.0,0.1,1.1984070059918164
82.0,0.1,1.5746158979881244
83.0,0.1,1.3880609154855588
84.0,0.1,0.9546736279898189
85.0,0.1,1.3252194301293017
86.0,0.1,1.2728978886336044
87.0,0.1,1.6302439555546773
88.0,0.1,1.170154446286297
89.0,0.1,1.741135263494174
90.0,0.1,1.3728034901859978
91.0,0.1,0.8207993976468444
92.0,0.1,1.2374794450552464
93.0,0.1,1.3880375123275002
94.0,0.1,1.5738938628181725
95.0,0.1,1.5169803850494574
96.0,0.1,1.12441172223361
97.0,0.1,1.7126911432953946
98.0,0.1,0.97873285960556
99.0,0.1,1.37451384537699
100.0,0.1,1.456799686858469
101.0,0.1,2.0251901352600647
102.0,0.1,1.55318744290655
103.0,0.1,2.2763129130447197
104.0,0.1,1.3579874050778127
105.0,0.1,1.3061957350332634
106.0,0.1,1.641595128307543
107.0,0.1,1.6391265500787977
108.0,0.1,1.9481491179692618
109.0,0.1,1.450504445518023
110.0,0.1,1.5421020230716778
111.0,0.1,1.4280978924566963
112.0,0.1,1.9555025303141456
113.0,0.1,1.131689961539612
114.0,0.1,1.8768931063822123
115.0,0.1,0.815207407067513
116.0,0.1,1.8748237306804683
117.0,0.1,1.6199972918194678
118.0,0.1,1.8261733398173412
119.0,0.1,1.1891596809516845
120.0,0.1,2.000089359696922
121.0,0.1,0.9492215844984342
122.0,0.1,1.5428283065115895
123.0,0.1,1.621137901840541
124.0,0.1,1.5914689662705364
125.0,0.1,0.9639930488929043
126.0,0.1,1.980164940338856
127.0,0.1,1.459922789515577
128.0,0.1,1.1053204345310972
129.0,0.1,1.6347855969614038
130.0,0.1,1.2225853120210957
131.0,0.1,1.1378875562482573
132.0,0.1,0.9691665249572452
133.0,0.1,1.2850932950460674
134.0,0.1,0.8592408792586683
135.0,0.1,1.5330443563909082
136.0,0.1,1.846804996883158
